Period,Accomodation type,Travel,Tourists
01-Sep-18,Camping,Domestic,303000
01-Sep-18,Camping,International,111000
01-Oct-18,Camping,Domestic,126000
01-Oct-18,Camping,International,84000
01-Nov-18,Camping,Domestic,11000
01-Nov-18,Camping,International,17000
01-Dec-18,Camping,Domestic,11000
01-Dec-18,Camping,International,7000
01-Jan-19,Camping,Domestic,8000
01-Jan-19,Camping,International,9000
01-Feb-19,Camping,Domestic,9000
01-Feb-19,Camping,International,9000
01-Mar-19,Camping,Domestic,31000
01-Mar-19,Camping,International,23000
01-Apr-19,Camping,Domestic,245000
01-Apr-19,Camping,International,164000
01-May-19,Camping,Domestic,331000
01-May-19,Camping,International,96000
01-Jun-19,Camping,Domestic,603000
01-Jun-19,Camping,International,255000
01-Jul-19,Camping,Domestic,562000
01-Jul-19,Camping,International,247000
01-Aug-19,Camping,Domestic,728000
01-Aug-19,Camping,International,259000
01-Sep-19,Camping,Domestic,307000
01-Sep-19,Camping,International,115000
01-Oct-19,Camping,Domestic,106000
01-Oct-19,Camping,International,103000
01-Nov-19,Camping,Domestic,13000
01-Nov-19,Camping,International,22000
01-Dec-19,Camping,Domestic,9000
01-Dec-19,Camping,International,11000
01-Jan-20,Camping,Domestic,10000
01-Jan-20,Camping,International,12000
01-Feb-20,Camping,Domestic,9000
01-Feb-20,Camping,International,12000
01-Mar-20,Camping,Domestic,14000
01-Mar-20,Camping,International,10000
01-Apr-20,Camping,Domestic,30000
01-Apr-20,Camping,International,3000
01-May-20,Camping,Domestic,147000
01-May-20,Camping,International,19000
01-Jun-20,Camping,Domestic,350000
01-Jun-20,Camping,International,90000
01-Jul-20,Camping,Domestic,747000
01-Jul-20,Camping,International,205000
01-Aug-20,Camping,Domestic,992000
01-Aug-20,Camping,International,186000
01-Sep-20,Camping,Domestic,421000
01-Sep-20,Camping,International,110000
01-Oct-20,Camping,Domestic,121000
01-Oct-20,Camping,International,29000
01-Nov-20,Camping,Domestic,16000
01-Nov-20,Camping,International,4000
01-Dec-20,Camping,Domestic,10000
01-Dec-20,Camping,International,1000
01-Jan-21,Camping,Domestic,8000
01-Jan-21,Camping,International,2000
01-Feb-21,Camping,Domestic,15000
01-Feb-21,Camping,International,2000
01-Mar-21,Camping,Domestic,21000
01-Mar-21,Camping,International,3000
01-Apr-21,Camping,Domestic,206000
01-Apr-21,Camping,International,9000
01-May-21,Camping,Domestic,649000
01-May-21,Camping,International,26000
01-Jun-21,Camping,Domestic,605000
01-Jun-21,Camping,International,66000
01-Jul-21,Camping,Domestic,742000
01-Jul-21,Camping,International,135000
01-Jan-12,Holiday park,International,77000
01-Feb-12,Holiday park,International,69000
01-Mar-12,Holiday park,International,84000
01-Apr-12,Holiday park,International,251000
01-May-12,Holiday park,International,130000
01-Jun-12,Holiday park,International,142000
01-Jul-12,Holiday park,International,185000
01-Aug-12,Holiday park,International,193000
01-Sep-12,Holiday park,International,115000
01-Oct-12,Holiday park,International,193000
01-Nov-12,Holiday park,International,121000
01-Dec-12,Holiday park,International,65000
01-Jan-13,Holiday park,International,72000
01-Feb-13,Holiday park,International,73000
01-Mar-13,Holiday park,International,128000
01-Apr-13,Holiday park,International,223000
01-May-13,Holiday park,International,185000
01-Jun-13,Holiday park,International,147000
01-Jul-13,Holiday park,International,194000
01-Aug-13,Holiday park,International,264000
01-Sep-13,Holiday park,International,166000
01-Oct-13,Holiday park,International,187000
01-Nov-13,Holiday park,International,157000
01-Dec-13,Holiday park,International,75000
01-Jan-14,Holiday park,International,77000
01-Feb-14,Holiday park,International,64000
01-Mar-14,Holiday park,International,113000
01-Apr-14,Holiday park,International,292000
01-May-14,Holiday park,International,128000
01-Jun-14,Holiday park,International,218000
01-Jul-14,Holiday park,International,198000
01-Aug-14,Holiday park,International,273000
01-Sep-14,Holiday park,International,173000
01-Oct-14,Holiday park,International,261000
01-Nov-14,Holiday park,International,102000
01-Dec-14,Holiday park,International,77000
01-Jan-15,Holiday park,International,93000
01-Feb-15,Holiday park,International,100000
01-Mar-15,Holiday park,International,116000
01-Apr-15,Holiday park,International,325000
01-May-15,Holiday park,International,211000
01-Jun-15,Holiday park,International,185000
01-Jul-15,Holiday park,International,262000
01-Aug-15,Holiday park,International,292000
01-Sep-15,Holiday park,International,164000
01-Oct-15,Holiday park,International,247000
01-Nov-15,Holiday park,International,142000
01-Dec-15,Holiday park,International,85000
01-Jan-16,Holiday park,International,99000
01-Feb-16,Holiday park,International,112000
01-Mar-16,Holiday park,International,178000
01-Apr-16,Holiday park,International,251000
01-May-16,Holiday park,International,257000
01-Jun-16,Holiday park,International,169000
01-Jul-16,Holiday park,International,308000
01-Aug-16,Holiday park,International,283000
01-Sep-16,Holiday park,International,202000
01-Oct-16,Holiday park,International,299000
01-Nov-16,Holiday park,International,139000
01-Dec-16,Holiday park,International,90000
01-Jan-17,Holiday park,International,123000
01-Feb-17,Holiday park,International,105000
01-Mar-17,Holiday park,International,118000
01-Apr-17,Holiday park,International,391000
01-May-17,Holiday park,International,219000
01-Jun-17,Holiday park,International,279000
01-Jul-17,Holiday park,International,329000
01-Aug-17,Holiday park,International,288000
01-Sep-17,Holiday park,International,213000
01-Oct-17,Holiday park,International,304000
01-Nov-17,Holiday park,International,169000
01-Dec-17,Holiday park,International,95000
01-Jan-18,Holiday park,International,118000
01-Feb-18,Holiday park,International,119000
01-Mar-18,Holiday park,International,207000
01-Apr-18,Holiday park,International,330000
01-May-18,Holiday park,International,280000
01-Jun-18,Holiday park,International,253000
01-Jul-18,Holiday park,International,358000
01-Aug-18,Holiday park,International,311000
01-Sep-18,Holiday park,International,211000
01-Oct-18,Holiday park,International,312000
01-Nov-18,Holiday park,International,188000
01-Dec-18,Holiday park,International,104000
01-Jan-19,Holiday park,International,128000
01-Feb-19,Holiday park,International,107000
01-Mar-19,Holiday park,International,187000
01-Apr-19,Holiday park,International,459000
01-May-19,Holiday park,International,208000
01-Jun-19,Holiday park,International,333000
01-Jul-19,Holiday park,International,393000
01-Aug-19,Holiday park,International,386000
01-Sep-19,Holiday park,International,270000
01-Oct-19,Holiday park,International,371000
01-Nov-19,Holiday park,International,232000
01-Dec-19,Holiday park,International,122000
01-Jan-20,Holiday park,International,159000
01-Feb-20,Holiday park,International,158000
